,Company,Level,Location,Salary,Title
0,        The HSC Health Care System,entry_level,"Washington, DC",60000,Junior Data Analyst
1,        Addison Group,entry_level,"Washington, DC 20003 (Capitol Hill area)",60000,Reports Analyst
2,        PCAOB,entry_level,"Washington, DC",60000,Research Analyst
3,        NSD,entry_level,"Washington, DC 20036 (Downtown area)",60000,Data Analyst
4,        Guidehouse,entry_level,"Washington, DC",60000,Data Analyst - Experienced Associate
5,"        ShadowObjects, LLC",entry_level,"Washington, DC 20201 (South West area)",60000,Acquisition Data Analyst
6,        National Geospatial-Intelligence Agency,entry_level,"Woodlawn, MD",60000,Data Analyst - Pay Band 3
7,        9th Way Solutions,entry_level,"Washington, DC 20005 (Logan Circle area)",60000,Research Analyst (Entry Level)
8,        Deloitte,entry_level,"Washington, DC",60000,"Analyst, Strategy and Research"
9,        Government of the District of Columbia,entry_level,"Washington, DC",60000,Program Analyst
10,        Uber,entry_level,"Washington, DC",60000,"Data Analyst II, Strategy & Planning"
11,        Government of the District of Columbia,entry_level,"Washington, DC",60000,OSSE: Management Analyst
12,        General Dynamics Information Technology,entry_level,"Washington, DC",60000,Data Analyst
13,        US Department of Health And Human Services,entry_level,"Washington, DC",60000,Public Health Analyst
14,Data Trust,entry_level,"Arlington, VA 22201 (Lyon Village area)",60000,Political Data Operations Analyst
15,        Guidehouse,entry_level,"Alexandria, VA",60000,Data Analyst - Associate
16,        The Counterterrorism Group,entry_level,"Washington, DC 20002 (Capitol Hill area)",60000,Counterterrorism Intelligence Analyst Intern (Remote)
17,        Deloitte,entry_level,"Arlington, VA 22201 (Lyon Village area)",60000,Jr. Financial Data Analyst (Secret Clearance Required)
18,"        English-El Enterprises, LLC",entry_level,"Washington, DC 20001 (Shaw area)",60000,Data Analyst (USCIS)
19,        Avila Trading,entry_level,"Alexandria, VA",60000,Data Analayst
20,        The Soter Group,entry_level,"McLean, VA",60000,Data Analyst
21,        Nathan Associates,entry_level,"Falls Church, VA 22046",60000,Analyst
22,        The KWO,entry_level,"Washington, DC",60000,Data Curation Analyst
23,        General Dynamics Information Technology,entry_level,"Arlington, VA 22203 (Bluemont area)",60000,Quality Analyst
24,        Inspire,entry_level,"Washington, DC",60000,Data Analyst
25,        IBM,entry_level,"Bethesda, MD 20814",60000,Digital Change Junior Analyst
26,"        City of Alexandria, VA",entry_level,"Washington, DC",60000,Management Analyst
27,"        IQlogg, Inc",entry_level,"Washington, DC 20005 (Logan Circle area)",60000,SQL Data Analyst
28,"        COLLABORAIT, INC",entry_level,"Washington, DC",60000,Data Analyst
29,        Global Strategy Group,entry_level,"Washington, DC",60000,Associate Data Analyst
30,        Interos,entry_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000,Data Analyst
31,        District of Columbia Public Schools,entry_level,"Arlington, VA",60000,"Analyst, Section 504 and Student Accommodations"
32,        Streetsense,entry_level,"Washington, DC",60000,Operations Analyst
33,        US Department of Health And Human Services,entry_level,"Washington, DC 20022 (Brentwood area)",60000,Management Analyst
34,        CACI,entry_level,"Washington, DC",60000,Data Analyst Summer Intern
35,        BlueLabs Analytics,entry_level,"Washington, DC",60000,DATA ANALYST
36,        The HSC Health Care System,entry_level,"Washington, DC",60000,Junior Data Analyst
37,        Accenture,entry_level,"Arlington, VA 22202 (Aurora Highlands area)",60000,Federal - Data Analyst
38,"        RISK MITIGATION CONSULTING, INC",entry_level,"Arlington, VA",60000,Data Research Analyst
39,        Guidehouse,entry_level,"Washington, DC 20003 (Capitol Hill area)",60000,Data Analyst - Experienced Associate
40,        KPMG,entry_level,"Washington, DC",60000,"Associate, Data & Analytics Consultant"
41,        Optoro,entry_level,"Arlington, VA",60000,Data Analyst
42,        H&M,entry_level,"Washington, DC 20006 (Foggy Bottom area)",60000,District Financial and Operations Analyst
43,        Booz Allen Hamilton,entry_level,"Washington, DC 20003 (Capitol Hill area)",60000,Business Management Analyst
44,        Boulevard Consulting Group,entry_level,"Washington, DC",60000,Junior Data Analyst
45,        Booz Allen Hamilton,entry_level,"Washington, DC",60000,"Data Analyst, Junior"
46,        Logistics Support Inc,entry_level,"Falls Church, VA 22042",60000,Jr. Data Analyst (Secret Clearance)
47,        Government of the District of Columbia,entry_level,"Washington, DC 20022 (Brentwood area)",60000,Investigative Analyst
48,        Booz Allen Hamilton,entry_level,"Washington, DC 20003 (Capitol Hill area)",60000,Data Analyst
49,"        Lockton, Inc.",entry_level,"Washington, DC",60000,Analyst
50,        Child and Family Services Agency,,,,Management Analyst
51,"        Culmen International, LLC",,,,Data Analyst
52,        Facebook,,,,Privacy Risk Analyst
53,        General Dynamics Information Technology,,,,Data Management Analyst
54,        Fannie Mae,,,,Business Analyst I (Economic and Strategic Research)
55,        General Dynamics Information Technology,,,,Metrics and Data Analytics Analyst
56,        Workbridge Associates,,,,Data Analyst (SQL)
0,"        IMAGINE ONE TECHNOLOGY & MANAGEMENT, LTD.",mid_level,"Washington, DC",60000,Junior Financial Analyst 11600850
1,        Summit Technologies LLC,mid_level,"Washington, DC 20005 (Logan Circle area)",60000,Business Analyst
